1,taramani,broadway
2,broadway,taramani
3,broadway,ambathur estate
4,ambathur estate,broadway
5,periyar nagar,vallalar nagar
6,vallalar nagar,periyar nagar
7,poonamallee,thiruvotriyur
8,thiruvotriyur,poonamallee
9,saidapet west,broadway
10,broadway,saidapet west
11,ekkatuthangal,broadway
12,broadway,ekkatuthangal
13,tnagar,broadway
14,broadway,tnagar
15,aynavaram,red hills
16,red hills,aynavaram
17,gnayaru,cmbt
18,cmbt,gnayaru
19,red hills,cmbt
20,cmbt,red hills
21,new erumaivettipalayam,koyambedu market
22,koyambedu market,new erumaivettipalayam
23,padiyanallur,koyambedu market
24,koyambedu market,padiyanallur
25,koyambedu market,seemavaram
26,seemavaram,koyambedu market
27,kkannadasan nagar,high court
28,high court,kkanadasan nagar
29,muthamiz nagar,high court
30,high court,muthamiz nagar
31,high court,kodungaiyur parvathynagar
32,kodungaiyur parvathynagar,high court
33,maraimalai nagar,tambaram
34,tambaram,maraimalai nagar
35,kalivanthapattu,tambaram
36,tambaram,kalivanthapattu
37,puzhuthivakkambs,guduvanchery
38,guduvanchery,puzhuthivakkambs
39,chemmenchery,guindy estate
40,guindy estate,chemmenchery
41,perumbakkam,guindy estate
42,guindy estate,perumbakkam
43,perumbakkam,saidapet
44,saidapet   ,perumbakkam
45,perumbakkam,tnagar
46,tnagar,perumbakkam
49,k kannadasan nagar,tnagar
50,tnagar,k kannadasan nagar
51,kk nagar,broadway
52,broadway,kk nagar
53,kk nagar,vallalar nagar
54,vallalar nagar,kk nagar
57,iyappanthangal,broadway
58,broadway,iyappanthangal
59,tnagar,vhouse
60,vhouse,tnagar
61,broadway,arakambakkam
62,arakambakkam,broadway
55,broadway,kilkondaiyur
63,kilkondaiyur,broadway
64,broadway,oragadam
65,oragadam,broadway
66,broadway,kadhavoor
67,kadhavoor,broadway
69,koyambedu market,manali
70,manali,koyambedu market
71,cmbt,manali
72,manali,cmbt
73,cmbt,minjur
74,minjur,cmbt
75,cmbt,ennore
76,ennore,cmbt
79,pattabiram,mkbnagar
80,mkbnagar,pattabiram
81,cmbt,k kanadasan nagar
82,k kanadasan nagar,cmbt
83,annasquare,thiruverkadu
84,thiruverkadu,annasquare
85,nanganallur,perambur
86,perambur,nanganallur
87,foreshoreestate,cmbt
88,cmbt,foreshoreestate
89,foreshoreestate,vadapalani
90,vadapalani,foreshoreestate
91,mylapore,saligramam
92,saligramam,mylapore
93,annasquare,kk nagar
94,kk nagar,annasquare
95,triplicane,tnagar
96,tnagar,triplicane
97,muthamiz nagar,ennore
98,ennore,muthamiz nagar
99,vhouse,thiruvknagar
100,thiruvknagar,vhouse
101,annasquare,tnagar
102,tnagar,annasquare
